"","FGUSPGAHistory5Yr$Player.Name","FGUSPGAHistory5Yr$CourseHistoryPts"
"1","Aiken, Thomas",0
"2","An, Byeong Hun",0
"3","Aphibarnrat, Kiradech",7
"4","Baddeley, Aaron",2
"5","Barnes, Ricky",2
"6","Berger, Daniel",0
"7","Bjorn, Thomas",4
"8","Blixt, Jonas",12
"9","Bohn, Jason",4
"10","Bourdy, Gregory",0
"11","Bowditch, Steven",0
"12","Bradley, Keegan",27
"13","Brown, Scott",2
"14","Cabrera, Angel",0
"15","Casey, Paul",9
"16","Castro, Roberto",5
"17","Cejka, Alex",0
"18","Chalmers, Greg",2
"19","Chappell, Kevin",7
"20","Choi, K.J.",6
"21","Cink, Stewart",0
"22","Clark, Tim",7
"23","Clarke, Darren",4
"24","Coetzee, George",10
"25","Colsaerts, Nicolas",0
"26","Compton, Erik",0
"27","Davis, Brian",5
"28","Day, Jason",25
"29","de Jonge, Brendon",13
"30","Donald, Luke",16
"31","Donaldson, Jamie",15
"32","Dubuisson, Victor",15
"33","Dufner, Jason",27
"34","Els, Ernie",17
"35","English, Harris",4
"36","Every, Matt",2
"37","Finau, Tony",10
"38","Fisher, Ross",2
"39","Fleetwood, Tommy",0
"40","Fraser, Marcus",4
"41","Fujita, Hiroyuki",0
"42","Furyk, Jim",29
"43","Gallacher, Stephen",2
"44","Garcia, Sergio",11
"45","Glover, Lucas",0
"46","Gomez, Fabian",0
"47","Goosen, Retief",2
"48","Grace, Branden",12
"49","Green, Richard",0
"50","Grillo, Emiliano",2
"51","Haas, Bill",19
"52","Hadley, Chesson",2
"53","Hahn, James",0
"54","Hansen, Anders",10
"55","Hanson, Peter",14
"56","Harman, Brian",2
"57","Harrington, Padraig",7
"58","Hatton, Tyrrell",5
"59","Hearn, David",2
"60","Henley, Russell",5
"61","Henry, J.J.",6
"62","Hoey, Michael",0
"63","Hoffman, Charley",2
"64","Hoffmann, Morgan",2
"65","Holmes, J.B.",7
"66","Horschel, Billy",7
"67","Horsey, David",0
"68","Howell III, Charles",7
"69","Howell, David",0
"70","Huh, John",2
"71","Ikeda, Yuta",2
"72","Ilonen, Mikko",12
"73","Ishikawa, Ryo",7
"74","Iwata, Hiroshi",5
"75","Jacobson, Freddie",4
"76","Jacquelin, Raphael",0
"77","Jaidee, Thongchai",2
"78","Jamieson, Scott",5
"79","Johnson, Dustin",22
"80","Johnson, Zach",16
"81","Jones, Matt",9
"82","Karlsson, Robert",12
"83","Kaymer, Martin",7
"84","Kelly, Jerry",10
"85","Kim, K.T.",4
"86","Kirk, Chris",4
"87","Kisner, Kevin",0
"88","Kjeldsen, Soren",0
"89","Knox, Russell",0
"90","Koepka, Brooks",17
"91","Kokrak, Jason",0
"92","Kuchar, Matt",20
"93","Lahiri, Anirban",10
"94","Laird, Martin",2
"95","Larrazabal, Pablo",2
"96","Lawrie, Paul",2
"97","Lee, Danny",2
"98","Leishman, Marc",12
"99","Levin, Spencer",5
"100","Lingmerth, David",5
"101","Love III, Davis",2
"102","Lowry, Shane",4
"103","Luiten, Joost",10
"104","Mahan, Hunter",19
"105","Martin, Ben",0
"106","Matsuyama, Hideki",9
"107","McDowell, Graeme",12
"108","McGinley, Paul",0
"109","McGirt, William",0
"110","McIlroy, Rory",37
"111","McNeill, George",2
"112","Merritt, Troy",2
"113","Mickelson, Phil",24
"114","Molder, Bryce",2
"115","Molinari, Francesco",10
"116","Moore, Ryan",8
"117","Morrison, James",2
"118","Na, Kevin",10
"119","Noren, Alexander",4
"120","O'Hair, Sean",4
"121","Oda, Koumei",4
"122","Ogilvy, Geoff",7
"123","Olesen, Thorbjorn",12
"124","Oosthuizen, Louis",15
"125","Palmer, Ryan",17
"126","Pepperell, Eddie",0
"127","Perez, Pat",7
"128","Pettersson, Carl",12
"129","Piercy, Scott",19
"130","Poulter, Ian",16
"131","Quiros, Alvaro",0
"132","Reavie, Chez",2
"133","Reed, Patrick",7
"134","Rock, Robert",0
"135","Romero, Andres",2
"136","Rose, Justin",27
"137","Rumford, Brett",0
"138","Sabbatini, Rory",2
"139","Schwartzel, Charl",14
"140","Scott, Adam",30
"141","Senden, John",9
"142","Siem, Marcel",4
"143","Simpson, Webb",7
"144","Singh, Vijay",8
"145","Smith, Cameron",5
"146","Snedeker, Brandt",12
"147","Spieth, Jordan",10
"148","Stallings, Scott",2
"149","Steele, Brendan",12
"150","Stefani, Shawn",2
"151","Stenson, Henrik",25
"152","Streb, Robert",10
"153","Streelman, Kevin",9
"154","Stricker, Steve",35
"155","Stroud, Chris",2
"156","Sullivan, Andy",0
"157","Summerhays, Daniel",2
"158","Tanihara, Hideto",0
"159","Thomas, Justin",5
"160","Todd, Brendon",2
"161","Toms, David",22
"162","Tringale, Cameron",2
"163","Uihlein, Peter",0
"164","Van Zyl, Jaco",0
"165","Vegas, Jhonattan",2
"166","Villegas, Camilo",0
"167","Wagner, Johnson",2
"168","Walker, Jimmy",15
"169","Warren, Marc",12
"170","Watney, Nick",12
"171","Watson, Bubba",17
"172","Weekley, Boo",7
"173","Westwood, Lee",19
"174","Wiesberger, Bernd",5
"175","Willett, Danny",9
"176","Wood, Chris",2
"177","Woodland, Gary",9
"178","Woods, Tiger",7
"179","Zanotti, Fabrizio",2
