Rank,Pts,,7516,,
7003,0,,,,
6915,0,,,,
5538,7355,,1978,,25th Percentile
4501,8778,,,,
3991,9397,,3525,,
2399,11487,,5117,,Median
2077,12216,,,,
1961,12648,,,,
1879,12934,,5637,,75th Percentile
1836,13109,,,,
1787,13281,,,,
1785,13284,,,,
1477,14561,,,,
1462,14611,,,,
1434,14759,,,,
1428,14785,,,,
1425,14790,,,,
1402,14869,,,,
1372,14995,,6144,,
1344,15123,,,,
1316,15205,,,,
1287,15304,,,,
1245,15462,,,,
1219,15535,,,,
1196,15614,,,,
1186,15644,,,,
1155,15742,,,,
1153,15757,,,,
1148,15777,,,,
1125,15870,,,,
1115,15896,,,,
1067,16072,,,,
1061,16111,,,,
1060,16115,,,,
1040,16167,,,,
1038,16176,,,,
1003,16340,,,,
945,16521,,,,
927,16569,,,,
865,16786,,,,
861,16793,,,,
847,16845,,,,
841,16889,,,,
819,16992,,,,
768,17155,,6748,,Top 10 Percentile
652,17543,,,,
652,17543,,,,
635,17588,,,,
597,17775,,,,
585,17823,,,,
573,17867,,,,
556,17925,,,,
554,17931,,,,
554,17931,,,,
532,18029,,,,
480,18337,,,,
472,18383,,,,
438,18505,,,,
374,18808,,,,
371,18809,,,,
368,18882,,,,
362,18857,,,,
341,18967,,,,
322,19063,,,,
315,19097,,,,
293,19198,,,,
279,19280,,,,
276,19293,,,,
271,19310,,,,
265,19331,,,,
231,19587,,,,
215,19711,,,,
208,19730,,,,
187,19889,,,,
171,19981,,,,
169,19990,,7347,,
141,20256,,,,
134,20399,,,,
85,20949,,,,
78,21036,,,,
76,21093,,7440,,Top 1 Percentile
67,21224,,,,
66,21228,,,,
65,21245,,,,
60,21381,,,,
39,21660,,,,
29,21886,,,,
22,22067,,,,
21,22070,,,,
13,22415,,,,
9,22859,,,,
9,22859,,,,
7,23138,,,,
6,23567,,,,
1,24409,,,,
